cod;nome;período;valor
27;AL;2013;1860
28;SE;2013;732
13;AM;2013;695
16;AP;2013;104
17;TO;2013;146
29;BA;2013;4287
23;CE;2013;3655
53;DF;2013;593
32;ES;2013;1290
21;MA;2013;1397
51;MT;2013;745
15;PA;2013;2229
25;PB;2013;1258
26;PE;2013;2299
22;PI;2013;365
41;PR;2013;2025
33;RJ;2013;3555
24;RN;2013;1149
11;RO;2013;300
14;RR;2013;70
43;RS;2013;1714
42;SC;2013;442
33;RJ;2014;3642
12;AC;2014;115
27;AL;2014;1806
13;AM;2014;762
16;AP;2014;152
23;CE;2014;3795
53;DF;2014;631
32;ES;2014;1292
52;GO;2014;2054
21;MA;2014;1688
31;MG;2014;3377
50;MS;2014;357
29;BA;2014;4671
51;MT;2014;854
15;PA;2014;2305
25;PB;2014;1253
26;PE;2014;2543
22;PI;2014;455
41;PR;2014;2071
24;RN;2014;1314
11;RO;2014;402
14;RR;2014;47
43;RS;2014;2055
42;SC;2014;499
28;SE;2014;898
35;SP;2014;3541
17;TO;2014;176
35;SP;2015;3097
12;AC;2015;116
27;AL;2015;1476
13;AM;2015;930
16;AP;2015;154
29;BA;2015;4555
23;CE;2015;3393
53;DF;2015;489
32;ES;2015;1093
52;GO;2015;2161
21;MA;2015;1718
31;MG;2015;3214
50;MS;2015;316
51;MT;2015;769
15;PA;2015;2539
25;PB;2015;1264
26;PE;2015;3065
22;PI;2015;400
41;PR;2015;1972
33;RJ;2015;3182
24;RN;2015;1238
11;RO;2015;383
14;RR;2015;57
43;RS;2015;2282
42;SC;2015;570
28;SE;2015;1108
17;TO;2015;276
51;MT;2016;752
15;PA;2016;3048
25;PB;2016;1060
26;PE;2016;3475
22;PI;2016;440
41;PR;2016;2125
33;RJ;2016;4019
24;RN;2016;1569
11;RO;2016;465
14;RR;2016;72
43;RS;2016;2507
42;SC;2016;611
28;SE;2016;1259
35;SP;2016;2720
17;TO;2016;312
50;MS;2016;326
31;MG;2016;3321
21;MA;2016;1625
52;GO;2016;2143
32;ES;2016;968
53;DF;2016;516
23;CE;2016;2908
29;BA;2016;5449
16;AP;2016;222
13;AM;2016;791
27;AL;2016;1546
12;AC;2016;226
